------------------------------------------------------------
Server listening on UDP port 9999
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.254 port 9999 connected with 10.0.0.1 port 42215
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 51.0000-52.0000 sec  24.4 KBytes   200 Kbits/sec   0.019 ms 0/17 (0%)
[  1] 52.0000-53.0000 sec  24.4 KBytes   200 Kbits/sec   0.017 ms 0/17 (0%)
[  1] 53.0000-54.0000 sec  24.4 KBytes   200 Kbits/sec   0.017 ms 0/17 (0%)
[  1] 54.0000-55.0000 sec  24.4 KBytes   200 Kbits/sec   0.020 ms 0/17 (0%)
[  1] 55.0000-56.0000 sec  24.4 KBytes   200 Kbits/sec   0.023 ms 0/17 (0%)
[  1] 56.0000-57.0000 sec  24.4 KBytes   200 Kbits/sec   0.019 ms 0/17 (0%)
[  1] 57.0000-58.0000 sec  24.4 KBytes   200 Kbits/sec   0.022 ms 0/17 (0%)
[  1] 58.0000-59.0000 sec  24.4 KBytes   200 Kbits/sec   0.028 ms 0/17 (0%)
[  1] 59.0000-60.0000 sec  24.4 KBytes   200 Kbits/sec   0.030 ms 0/17 (0%)
[  1] 60.0000-61.0000 sec  24.4 KBytes   200 Kbits/sec   0.056 ms 0/17 (0%)
[  1] 61.0000-62.0000 sec  24.4 KBytes   200 Kbits/sec   0.028 ms 0/17 (0%)
[  1] 62.0000-63.0000 sec  24.4 KBytes   200 Kbits/sec   0.023 ms 0/17 (0%)
[  1] 63.0000-64.0000 sec  24.4 KBytes   200 Kbits/sec   0.025 ms 0/17 (0%)
[  1] 64.0000-65.0000 sec  24.4 KBytes   200 Kbits/sec   0.025 ms 0/17 (0%)
[  1] 65.0000-66.0000 sec  24.4 KBytes   200 Kbits/sec   0.024 ms 0/17 (0%)
[  1] 66.0000-67.0000 sec  24.4 KBytes   200 Kbits/sec   0.021 ms 0/17 (0%)
[  1] 67.0000-68.0000 sec  24.4 KBytes   200 Kbits/sec   0.021 ms 0/17 (0%)
[  1] 68.0000-69.0000 sec  24.4 KBytes   200 Kbits/sec   0.023 ms 0/17 (0%)
[  1] 69.0000-70.0000 sec  24.4 KBytes   200 Kbits/sec   0.033 ms 0/17 (0%)
[  1] 70.0000-71.0000 sec  24.4 KBytes   200 Kbits/sec   0.021 ms 0/17 (0%)
[  1] 71.0000-72.0000 sec  24.4 KBytes   200 Kbits/sec   0.019 ms 0/17 (0%)
[  1] 72.0000-73.0000 sec  24.4 KBytes   200 Kbits/sec   0.018 ms 0/17 (0%)
[  1] 73.0000-74.0000 sec  24.4 KBytes   200 Kbits/sec   0.022 ms 0/17 (0%)
[  1] 74.0000-75.0000 sec  24.4 KBytes   200 Kbits/sec   0.018 ms 0/17 (0%)
[  1] 75.0000-76.0000 sec  24.4 KBytes   200 Kbits/sec   0.020 ms 0/17 (0%)
[  1] 76.0000-77.0000 sec  24.4 KBytes   200 Kbits/sec   0.028 ms 0/17 (0%)
[  1] 77.0000-78.0000 sec  24.4 KBytes   200 Kbits/sec   0.024 ms 0/17 (0%)
[  1] 78.0000-79.0000 sec  24.4 KBytes   200 Kbits/sec   0.018 ms 0/17 (0%)
[  1] 79.0000-80.0000 sec  24.4 KBytes   200 Kbits/sec   0.019 ms 0/17 (0%)
[  1] 80.0000-81.0000 sec  24.4 KBytes   200 Kbits/sec   0.021 ms 0/17 (0%)
[  1] 81.0000-82.0000 sec  24.4 KBytes   200 Kbits/sec   0.030 ms 0/17 (0%)
[  1] 82.0000-83.0000 sec  24.4 KBytes   200 Kbits/sec   0.028 ms 0/17 (0%)
[  1] 83.0000-84.0000 sec  24.4 KBytes   200 Kbits/sec   0.024 ms 0/17 (0%)
[  1] 84.0000-85.0000 sec  24.4 KBytes   200 Kbits/sec   0.016 ms 0/17 (0%)
[  1] 85.0000-86.0000 sec  24.4 KBytes   200 Kbits/sec   0.021 ms 0/17 (0%)
[  1] 86.0000-87.0000 sec  24.4 KBytes   200 Kbits/sec   0.033 ms 0/17 (0%)
[  1] 87.0000-88.0000 sec  24.4 KBytes   200 Kbits/sec   0.041 ms 0/17 (0%)
[  1] 88.0000-89.0000 sec  24.4 KBytes   200 Kbits/sec   0.050 ms 0/17 (0%)
[  1] 89.0000-90.0000 sec  24.4 KBytes   200 Kbits/sec   0.046 ms 0/17 (0%)
[  1] 90.0000-91.0000 sec  24.4 KBytes   200 Kbits/sec   0.049 ms 0/17 (0%)
[  1] 91.0000-92.0000 sec  24.4 KBytes   200 Kbits/sec   0.062 ms 0/17 (0%)
