------------------------------------------------------------
Server listening on UDP port 9999
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.254 port 9999 connected with 10.0.0.1 port 44501
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 56.0000-57.0000 sec  24.4 KBytes   200 Kbits/sec   0.098 ms 0/17 (0%)
[  1] 57.0000-58.0000 sec  25.8 KBytes   212 Kbits/sec   0.082 ms 0/18 (0%)
[  1] 58.0000-59.0000 sec  24.4 KBytes   200 Kbits/sec   0.076 ms 0/17 (0%)
[  1] 59.0000-60.0000 sec  24.4 KBytes   200 Kbits/sec   0.087 ms 0/17 (0%)
[  1] 60.0000-61.0000 sec  25.8 KBytes   212 Kbits/sec   0.074 ms 0/18 (0%)
[  1] 61.0000-62.0000 sec  24.4 KBytes   200 Kbits/sec   0.091 ms 0/17 (0%)
[  1] 62.0000-63.0000 sec  25.8 KBytes   212 Kbits/sec   0.118 ms 0/18 (0%)
[  1] 63.0000-64.0000 sec  24.4 KBytes   200 Kbits/sec   0.098 ms 0/17 (0%)
[  1] 64.0000-65.0000 sec  24.4 KBytes   200 Kbits/sec   0.086 ms 0/17 (0%)
[  1] 65.0000-66.0000 sec  25.8 KBytes   212 Kbits/sec   0.120 ms 0/18 (0%)
[  1] 66.0000-67.0000 sec  24.4 KBytes   200 Kbits/sec   0.089 ms 0/17 (0%)
[  1] 67.0000-68.0000 sec  25.8 KBytes   212 Kbits/sec   0.098 ms 0/18 (0%)
[  1] 68.0000-69.0000 sec  24.4 KBytes   200 Kbits/sec   0.101 ms 0/17 (0%)
[  1] 69.0000-70.0000 sec  25.8 KBytes   212 Kbits/sec   0.071 ms 0/18 (0%)
[  1] 70.0000-71.0000 sec  24.4 KBytes   200 Kbits/sec   0.096 ms 0/17 (0%)
[  1] 71.0000-72.0000 sec  24.4 KBytes   200 Kbits/sec   0.083 ms 0/17 (0%)
[  1] 72.0000-73.0000 sec  25.8 KBytes   212 Kbits/sec   0.086 ms 0/18 (0%)
[  1] 73.0000-74.0000 sec  24.4 KBytes   200 Kbits/sec   0.075 ms 0/17 (0%)
[  1] 74.0000-75.0000 sec  25.8 KBytes   212 Kbits/sec   0.103 ms 0/18 (0%)
[  1] 75.0000-76.0000 sec  24.4 KBytes   200 Kbits/sec   0.102 ms 0/17 (0%)
[  1] 76.0000-77.0000 sec  24.4 KBytes   200 Kbits/sec   0.096 ms 0/17 (0%)
[  1] 77.0000-78.0000 sec  25.8 KBytes   212 Kbits/sec   0.090 ms 0/18 (0%)
[  1] 78.0000-79.0000 sec  24.4 KBytes   200 Kbits/sec   0.074 ms 0/17 (0%)
[  1] 79.0000-80.0000 sec  25.8 KBytes   212 Kbits/sec   0.083 ms 0/18 (0%)
[  1] 0.0000-80.1041 sec  1.96 MBytes   205 Kbits/sec   0.070 ms 0/1397 (0%)
